Name,DPIIT Stage,District / City,Focus Industry,Startup India Profile,Source
ANCIENT FARMER PRODUCER COMPANY LIMITED,Early Traction,Bankura,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a81c1e6e4b014082795aca0.html,Startup India (DPIIT profile)
MERCHLAND RETAIL PRIVATE LIMITED,Early Traction,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a7f6f69e4b0140827954297.html,Startup India (DPIIT profile)
CHITRAYANTRA TECHNOLOGIES PRIVATE LIMITED,Ideation,North 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a7efa76e4b099b2048a874b.html,Startup India (DPIIT profile)
WIBEALGO PRIVATE LIMITED,Early Traction,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a7c53fce4b0f4e81d020a51.html,Startup India (DPIIT profile)
SOLARNEST INFRASTRUCTURE PRIVATE LIMITED,Validation,Murshidabad,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a789a79e4b0b55585b57232.html,Startup India (DPIIT profile)
NOCTRODEX (OPC) PRIVATE LIMITED,Ideation,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a745314e4b0b55585a9a10b.html,Startup India (DPIIT profile)
GKP SNACKS PRIVATE LIMITED,Validation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a7425a3e4b0b55585a985c3.html,Startup India (DPIIT profile)
EVANOO PRIVATE LIMITED,Validation,North 24 Parganas,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a74084fe4b0b55585a97b2b.html,Startup India (DPIIT profile)
INDROBOTIX TECHNOLOGIES PRIVATE LIMITED,Validation,Purba Medinipur,Robotics,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a70662fe4b01a12d3b14009.html,Startup India (DPIIT profile)
GREENPOWER SOLUTIONS,Validation,Kolkata,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a6b0800e4b01a12d3afe398.html,Startup India (DPIIT profile)
OAK CONNECTIONS LLP,Early Traction,North 24 Parganas,Dating Matrimonial,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a6aed46e4b01a12d3afb224.html,Startup India (DPIIT profile)
MY TURN PRIVATE LIMITED,Validation,Purba Medinipur,Waste Management,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a64ebd7e4b01a12d3ae0708.html,Startup India (DPIIT profile)
AVENORO LIFESTYLE PRIVATE LIMITED,Early Traction,North 24 Parganas,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a634db1e4b01a12d3ad8397.html,Startup India (DPIIT profile)
SACHETANA CARRER & TECHNOLOGY PRIVATE LIMITED,Ideation,Maldah,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5f074fe4b01a12d3abf5a3.html,Startup India (DPIIT profile)
YALUNG KANG FOOD PRIVATE LIMITED,Early Traction,Darjeeling,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5e06ade4b01a12d3abb8d1.html,Startup India (DPIIT profile)
HILLSHITAKE MUSHROOM HUB PRIVATE LIMITED,Ideation,Darjeeling,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5bc3a1e4b01a12d3aaa67a.html,Startup India (DPIIT profile)
BHOWMICK ENTERPRISES,Validation,Paschim Bardhaman,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5b645fe4b01a12d3aa82bd.html,Startup India (DPIIT profile)
ARANYAMITHA SWASTHYA (OPC) PRIVATE LIMITED,Early Traction,South 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5a0e59e4b01a12d3aa1b5e.html,Startup India (DPIIT profile)
BLACK HAT ICONIC PRIVATE LIMITED,Early Traction,South 24 Parganas,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a59020ee4b01a12d3a9cc10.html,Startup India (DPIIT profile)
NUBONS TECH LLP,Validation,South 24 Parganas,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a58b981e4b01a12d3a9a972.html,Startup India (DPIIT profile)
SHYAMSUNDAR METAPLAST PRIVATE LIMITED,Scaling,Paschim Bardhaman,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a58a4d0e4b01a12d3a99bb9.html,Startup India (DPIIT profile)
HAEMOLOGIX PRIVATE LIMITED,Early Traction,Howrah,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5877dfe4b01a12d3a986ad.html,Startup India (DPIIT profile)
ENTHALPIC TECHNOLOGIES PRIVATE LIMITED,Ideation,Bankura,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a578fbee4b01a12d3a95dd0.html,Startup India (DPIIT profile)
Flint De Orient Marketing & Technology Private Limited,Early Traction,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a5785c2e4b01a12d3a95a08.html,Startup India (DPIIT profile)
GSM HEALTHCARE EXPORT PRIVATE LIMITED,Ideation,Purba Medinipur,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a571de3e4b01a12d3a91887.html,Startup India (DPIIT profile)
GEOVANTA INTERNATIONAL LLP,Ideation,Murshidabad,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a54efdce4b0f94172a42139.html,Startup India (DPIIT profile)
VEDICA AUTOMATION PRIVATE LIMITED,Ideation,North 24 Parganas,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a54b7b5e4b0f94172a3f8ae.html,Startup India (DPIIT profile)
ASSUREM HEALTHCARE PRIVATE LIMITED,Validation,Kolkata,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a54aa69e4b0f94172a3ec74.html,Startup India (DPIIT profile)
ZENLYTIX SYSTEMS PRIVATE LIMITED,Validation,North 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a54a683e4b0f94172a3e8aa.html,Startup India (DPIIT profile)
FENDURA INDUSTRIES PRIVATE LIMITED,Validation,Paschim Bardhaman,Internet of Things,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a53ce49e4b0dfbceaa7953f.html,Startup India (DPIIT profile)
TERRIS AGRITECH PRIVATE LIMITED,Validation,Hooghly,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a533ed9e4b0dfbceaa74dcb.html,Startup India (DPIIT profile)
FUZROK CONSULTANCY SERVICES PRIVATE LIMITED,Ideation,Paschim Bardhaman,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a53077ce4b0dfbceaa73d5e.html,Startup India (DPIIT profile)
BIC INDUSTRIES PRIVATE LIMITED,Early Traction,Paschim Bardhaman,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a525f77e4b0dfbceaa7263f.html,Startup India (DPIIT profile)
VIDYALO ONLINE PRIVATE LIMITED,Validation,North 24 Parganas,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a52561fe4b0dfbceaa724b1.html,Startup India (DPIIT profile)
M D AURA PRIVATE LIMITED,Validation,Kolkata,Real Estate,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a523e89e4b0dfbceaa71d26.html,Startup India (DPIIT profile)
VINAYAK INDUSTRIAL PRIVATE LIMITED,Early Traction,Purba Medinipur,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a51fb47e4b0dfbceaa70233.html,Startup India (DPIIT profile)
NKH INDUSTRIES LLP,Ideation,Maldah,Other Specialty Retailers,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a51ee56e4b0dfbceaa6f9f4.html,Startup India (DPIIT profile)
QUANTUMEDGE TECHNOLOGIES INDIA PRIVATE LIMITED,Validation,North 24 Parganas,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a51e991e4b0dfbceaa6f708.html,Startup India (DPIIT profile)
ONEPOINT GLOBAL TAX SOLUTIONS LLP,Validation,Kolkata,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a50f4fde4b0dfbceaa6cc04.html,Startup India (DPIIT profile)
KHATI FOOD VENTURES PRIVATE LIMITED,Validation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a50c38be4b061f5fedf6a3b.html,Startup India (DPIIT profile)
NARNOLIA SPECTRA GLOBAL AI LLP,Early Traction,Kolkata,Computer Vision,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f9b8ee4b061f5fedeff74.html,Startup India (DPIIT profile)
GAYESHPUR INDUSTRIES (OPC) PRIVATE LIMITED,Scaling,Nadia,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f8b60e4b061f5fedef70f.html,Startup India (DPIIT profile)
XTRAMIX CONCRETE LLP,Validation,Kolkata,Real Estate,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f8050e4b061f5fedef039.html,Startup India (DPIIT profile)
CHIMERA VENTURE PRIVATE LIMITED,Ideation,South 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f7313e4b061f5fedee81e.html,Startup India (DPIIT profile)
SCIMITAR MILK AND INTEGRATED LOCAL ENTERPRISES PRIVATE LIMITED,Validation,South 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f6a86e4b061f5fedee25f.html,Startup India (DPIIT profile)
JIGYAASA AI PRIVATE LIMITED,Early Traction,North 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f541be4b061f5feded60a.html,Startup India (DPIIT profile)
DOOARS WELFARE FOUNDATION,Early Traction,Alipurduar,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4f52f6e4b061f5feded5a0.html,Startup India (DPIIT profile)
ZUNEKO LABS LLP,Scaling,North 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4e256fe4b061f5fede9518.html,Startup India (DPIIT profile)
INSUST GLOBAL PRIVATE LIMITED,Validation,Hooghly,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4d6feee4b061f5fede698f.html,Startup India (DPIIT profile)
ARINSA AI MINDS PRIVATE LIMITED,Validation,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4d22e4e4b061f5fede5c72.html,Startup India (DPIIT profile)
THE ESSENTIALS HUB (OPC) PRIVATE LIMITED,Ideation,North 24 Parganas,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4cf128e4b0359e44e47f6e.html,Startup India (DPIIT profile)
GARUDA AIR DEFENCE SYSTEMS PRIVATE LIMITED,Ideation,Howrah,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4cdc6fe4b0359e44e47307.html,Startup India (DPIIT profile)
LAKTRA GLOBAL PRIVATE LIMITED,Early Traction,Kolkata,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4ccc6ce4b0359e44e469d2.html,Startup India (DPIIT profile)
ARNSOUSAP SERVICES LLP,Ideation,North 24 Parganas,House-Hold Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4cc4dee4b0359e44e46600.html,Startup India (DPIIT profile)
ECOGENESIS PMC PRIVATE LIMITED,Early Traction,South 24 Parganas,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4bcf32e4b0359e44e42bd3.html,Startup India (DPIIT profile)
MALICK UDYOG PRIVATE LIMITED,Scaling,Howrah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4bb20ae4b0359e44e42140.html,Startup India (DPIIT profile)
STHIRA CONSUMER PRIVATE LIMITED,Validation,South 24 Parganas,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4b8551e4b0359e44e404d8.html,Startup India (DPIIT profile)
SEQUENS LLP,Ideation,Purba Medinipur,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4b6abee4b0359e44e3f3b8.html,Startup India (DPIIT profile)
ALLOBION LLP,Validation,Darjeeling,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a4ab438e4b0359e44e3ca11.html,Startup India (DPIIT profile)
KUTUMB ADVISORY LLP,Validation,North 24 Parganas,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a48efafe4b0359e44e378a1.html,Startup India (DPIIT profile)
VYBECERKLE TECHNOLOGIES PRIVATE LIMITED,Validation,Kolkata,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a48eb6de4b0359e44e376d9.html,Startup India (DPIIT profile)
SHARNOVA LABS (OPC) PRIVATE LIMITED,Validation,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a48e193e4b0359e44e372cd.html,Startup India (DPIIT profile)
HIM AI PRIVATE LIMITED,Validation,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a480119e4b0359e44e329c9.html,Startup India (DPIIT profile)
SVASAMM RESEARCH PRIVATE LIMITED,Validation,Hooghly,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a47b5e1e4b0359e44e316a5.html,Startup India (DPIIT profile)
