Name,Type,Sector,Stage,Area,Website,Description
SuperProcure,Startup,Logistics,Seed,Other,https://www.superprocure.com,Cloud-based freight transportation management platform automating spot sourcing and logistics.
StockEdge,Startup,FinTech,Bootstrapped,Salt Lake (Sector V),https://stockedge.com,SEBI-registered stock market research equity analytics and portfolio discovery application.
Elearnmarkets,Startup,EdTech,Bootstrapped,Salt Lake (Sector V),https://www.elearnmarkets.com,Online financial education portal offering certified stock market courses and live trading mentorship.
Wow! Momo,Startup,D2C Brands,Series C+,EM Bypass,https://www.wowmomo.com,Quick-service restaurant chain and FMCG brand specializing in momos and pan-Asian street food.
Indus Net Technologies,Startup,SaaS,Bootstrapped,New Town / Rajarhat,https://www.intglobal.com,Digital engineering and transformation partner providing SaaS solutions cloud services and UI/UX.
Karma Kettle,Startup,D2C Brands,Bootstrapped,Ballygunge & Gariahat,https://www.karmakettle.com,Artisanal tea company crafting organic tea leaves tisanes and gourmet botanical infusions.
Clan Earth,Startup,D2C Brands,Seed,Other,https://clanearth.com,Eco-friendly consumer product brand manufacturing sustainable backpacks and lifestyle goods.
Drones Tech Lab,Startup,DeepTech / HardTech,Bootstrapped,Other,http://www.dronestechlab.com,Unmanned surveillance hardware developer and system integrator for aerial drone solutions.
CoRover,Startup,AI & ML,Series A,Other,https://corover.ai,Generative AI powered human-centric conversational platform delivering chatbots voicebots and videobots.
HRS Navigation,Startup,Healthtech,Bootstrapped,Other,http://www.hrsnavigation.com,Surgical navigation technology enterprise manufacturing computer assistance systems for brain and spine operations.
LarkAI Healthcare,Startup,Healthtech,Seed,Other,https://larkaihealth.com,Healthtech venture offering real-time quantitative analysis and early detection of cardiopulmonary diseases.
Innofied Solution,Startup,SaaS,Bootstrapped,Other,https://www.innofied.com,Mobile app and web development technology company building custom digital products for global businesses.
HyperXchange,Startup,Consumer Tech,Series A,Other,http://hyperxchange.com,Re-commerce startup providing diagnostic-tested refurbished laptops smartphones and electronics.
IIM Calcutta Innovation Park,Incubators & Hubs,Other,Bootstrapped,Jadavpur,https://www.iimcip.org,Academic incubator and accelerator fostering entrepreneurship and seed funding across Eastern India.
FreeFlow Ventures,Incubators & Hubs,Other,Bootstrapped,Salt Lake (Sector V),https://freeflow.zone,Startup accelerator and incubator providing mentorship co-working facilities and early capital.
Seeders Venture Capital,VCs & Investors,Other,Bootstrapped,Salt Lake (Sector V),http://www.seeders.in,Early-stage venture capital and angel advisory firm investing in technology and consumer startups.
mjunction services limited,Startup,Other,Public,Salt Lake (Sector V),https://www.mjunction.in,B2B e-commerce platform and industrial e-auction service provider for steel coal and commodities.
TenPi Technologies,Startup,DeepTech / HardTech,Bootstrapped,Other,https://tenpi.in,Hardware technology venture designing indigenous microelectronics and embedded system hardware.
5C Network,Startup,Healthtech,Series A,Other,https://www.5cnetwork.com,Digital teleradiology platform connecting hospitals and diagnostic centers with specialist radiologists.
TiE Kolkata,Incubators & Hubs,Other,Unconfirmed,Park Street & Camac Street,https://kolkata.tie.org,Regional network chapter providing mentorship networking and investor events for local founders.
NASSCOM Warehouse Kolkata,Incubators & Hubs,Other,Bootstrapped,Salt Lake (Sector V),https://nasscom.in,Tech startup co-working space and acceleration hub run in partnership with state government.
Bandhan Bank Fintech Program,Incubators & Hubs,FinTech,Public,Salt Lake (Sector V),https://bandhanbank.com,Bank-backed accelerator initiative fostering fintech solutions digital payments and rural banking tech.
Kredent Academy,Startup,EdTech,Bootstrapped,Salt Lake (Sector V),https://www.kredentacademy.com,Financial educational institute delivering training in share trading financial modeling and wealth management.
Briskpe,Startup,FinTech,Seed,New Town / Rajarhat,https://www.briskpe.com,Cross-border fintech platform simplifying international trade collections and payments for MSME exporters.
Licious,Startup,D2C Brands,Series C+,Other,https://www.licious.in,Direct-to-consumer fresh meat and seafood brand operating regional processing and cold chain hubs.
Suraksha Diagnostics,Startup,Healthtech,Public,EM Bypass,https://www.surakshadiagnostics.com,Integrated diagnostic healthcare service chain offering pathology and radiology testing.
Kolkata Angels Network,VCs & Investors,Other,Bootstrapped,Park Street & Camac Street,https://kolkataangels.com,Angel investment syndicate connecting high-net-worth investors with early-stage regional startups.
Webel IT Park Incubation Center,Incubators & Hubs,Other,Bootstrapped,Salt Lake (Sector V),https://www.webel-india.com,State technology infrastructure provider offering co-working space and incubation facilities.
TechShu,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://www.techshu.com,Performance marketing search engine optimization and digital technology consultancy.
Lalani Infotech,Startup,DeepTech / HardTech,Bootstrapped,Park Street & Camac Street,https://www.lalaniinfotech.com,IT hardware distributor infrastructure consultant and custom system integration firm.
Softz Tech Solutions,Startup,SaaS,Bootstrapped,Salt Lake (Sector V),https://www.softzsolutions.com,Web development and enterprise software studio delivering custom cloud applications.
Tea Junction,Startup,D2C Brands,Bootstrapped,Salt Lake (Sector V),https://teajunction.co.in,Quick-service retail chain specializing in authentic bubble tea packaged brews and food.
