Name,Type,Sector,Stage,Area,Website,Description,Source/Verification note
Wow! Momo,Startup,Consumer Tech / D2C Brands,Series C+ (bridge rounds; ~$154M total),EM Bypass,https://www.wowmomo.com/,"QSR chain specializing in momos and related fast food, expanded nationally from Kolkata kiosk.",Inc42 top funded list; company site; Wikipedia; HQ address on EM Bypass
Arohan Financial Services,Startup,FinTech,Series C+ / IPO-filing stage,Salt Lake (Sector V),https://www.arohan.in/,Technology-enabled NBFC-MFI providing microfinance/income-generating loans primarily to underserved women.,Company site/annual reports; Inc42; LinkedIn; PTI Building Sector V address
Mihup,Startup,AI & ML,Series A (~$10-15M+ reported),Salt Lake (Sector V),https://mihup.ai/,Enterprise voice AI / conversational intelligence for automotive (in-car assistants) and contact centers; multilingual.,Company about/contact pages (Millennium City IT Park Sector V); Tracxn; news (Accel etc.)
NowPurchase,Startup,SaaS / Other (B2B marketplace),Seed / early (recent $6M+ rounds),Park Street & Camac Street,https://nowpurchase.com/,"SaaS-enabled procurement marketplace and platform for metal manufacturers (scrap, alloys, etc.).",Company site; Inc42/Entrepreneur India; Shakespeare Sarani address
StockEdge,Startup,FinTech,Seed,Salt Lake (Sector V),https://www.stockedge.com/,"Stock market research/analytics platform (fundamental, technical, derivatives) for retail investors/traders; SEBI-registered.",Company site/LinkedIn (Kredent Tower Sector V); PitchBook/Tracxn mentions
Nestasia,Startup,D2C Brands,Series A (~$12M+ total),Park Street & Camac Street / Other,https://nestasia.in/,"D2C home decor and lifestyle brand (artisanal, design-driven products); online + offline stores.",Company site/about; LinkedIn (Kolkata HQ); funding news (Stellaris etc.)
Videonetics,Startup,AI & ML / DeepTech / HardTech,Series B,New Town / Rajarhat,https://www.videonetics.com/,"AI-powered video management system (VMS), analytics, traffic management, and surveillance solutions.",Company contact (New Town HQ); LinkedIn; Inc42/Tracxn
Sasta Sundar,Startup,Healthtech,Series A / Public elements,New Town / Rajarhat,https://sastasundar.com/,"Digital healthcare platform: online pharmacy, diagnostics, wellness, and B2B pharma distribution.",Company site/LinkedIn (Newtown address); Inc42; recent clinic expansion news
iKure Techsoft,Startup,Healthtech,Seed / Bootstrapped (limited reported equity),Other (Jodhpur Park area),https://ikuretechsoft.com/,Tech-enabled primary healthcare for rural/underserved areas via community health workers and diagnostics platform.,Company site; CB Insights; news on workshops/partnerships
Motovolt,Startup,DeepTech / HardTech,Bootstrapped / Unconfirmed (family capital noted),Park Street & Camac Street / Other,https://motovolt.co/,"Electric two-wheelers (scooters, cycles) focused on commercial/last-mile delivery utility.",Company contact (Shakespeare Sarani HQ + Taratala manufacturing); news; LinkedIn
IIM Calcutta Innovation Park (IIMCIP),Incubators & Hubs,Other,N/A,Other (Joka / IIM campus area),https://iimcip.org/ (or iimcal.ac.in pages),"Not-for-profit incubator/accelerator under IIM Calcutta supporting startups (esp. social/impact, tech); seed funding, mentorship.",Official IIMCIP/IIM Calcutta pages; recent fund launches and MoUs
Kolkata Ventures,Incubators & Hubs,Other,N/A,Other,https://kolkataventures.com/,"Indo-US collaboration offering virtual incubation, mentorship, and seed support for early-stage startups.",Official site; news on portfolio investments
AIC Techno Innovation and Incubation Council,Incubators & Hubs,Other,N/A,Other,https://www.aic-techno.com/,"West Bengal’s first Atal Incubation Centre (AIM/NITI Aayog backed); focuses on social innovation, emerging tech, media/design.",Official site
STPI Kolkata Incubation Center,Incubators & Hubs,Other,N/A,Salt Lake (Sector V),stpi.in (related pages),"Government (STPI/MeitY) incubation facility for tech startups (AI, IoT, FinTech etc.) with infrastructure/mentorship.",Economic Times / official STPI announcements (2025 launch)
Calcutta Angels Network,VCs & Investors,Other,N/A (angel/seed focus),Park Street & Camac Street / Other,calcutta-angels.com (or related),Angel network supporting early-stage startups in Eastern India with capital and mentorship.,PitchBook/company registry; eChai/ecosystem lists; Ideal Plaza address mentions
Seeders (Seeders Venture Capital),VCs & Investors,Other,N/A (pre-seed/seed),Other,(ecosystem references),"Early-stage VC active in agritech, deeptech, SaaS, D2C etc.",eChai Kolkata ecosystem page; Tracxn investor lists
RPSG Capital Ventures,VCs & Investors,Other,"N/A (seed to Series A/B, consumer/D2C focus)",Other,(ecosystem references),"Investor arm linked to RP-Sanjiv Goenka Group, active in consumer/D2C.",eChai Kolkata ecosystem
Navam Capital,VCs & Investors,Other,"N/A (seed/early, deeptech/frontier)",Other,(ecosystem references),"Focus on deeptech, spacetech, climate, AI etc.",eChai Kolkata ecosystem
Asanify,Startup,SaaS,Unconfirmed / early,Other / Salt Lake area (typical),https://asanify.com/,"HR SaaS (payroll, ATS, leave management) for businesses.",Built In Kolkata list; company site
Labkafe,Startup,EdTech,Unconfirmed,Other,(search confirms Kolkata base),Lab equipment/services and edtech for schools/colleges.,Ecosystem lists (Scoopearth etc.); active presence
Jewelbox,Startup,D2C Brands,Seed,Other,(Tracxn/Inc42 mentions),Fashion/jewellery D2C.,Tracxn fashion tech Kolkata lists; funding mentions
Kisah,Startup,D2C Brands,Series A / Seed,Other,(Tracxn mentions),Fashion/apparel brand.,Tracxn; funding news
Alt Carbon,Startup,DeepTech / HardTech / Other (Climate),Unconfirmed / early,Other,(news),Climate tech converting farm waste to carbon credits.,Scoopearth / ecosystem top lists
DriverShaab,Startup,Logistics / Consumer Tech,Seed,Other,(Tracxn),On-demand driver hiring platform.,Tracxn gig economy Kolkata
Assessli,Startup,AI & ML / EdTech,Seed / Angel,Other,(Tracxn AI list),AI assessment tools.,Tracxn AI startups Kolkata
Sisir Radar,Startup,DeepTech / HardTech,Seed / Series A,Other,(Tracxn),Synthetic aperture radar systems (aerospace/defense).,Tracxn aerospace Kolkata
Data Sutram,Startup,AI & ML / SaaS,Unconfirmed,Other (origins Jadavpur; some ops may vary),https://datasutram.com/,"Data analytics/platform for business insights, fraud detection etc.",Built In / ecosystem lists; company site [VERIFY: primary ops may have shifted]
Taxmantra,Startup,FinTech / SaaS,Bootstrapped / Unconfirmed,Other,(ecosystem),Tax/compliance services platform.,Scoopearth / local lists
Neotec Hub,Incubators & Hubs,Other,N/A,Other,(Ambuja Neotia linked),Incubator backed by Ambuja Neotia Group.,Tracxn accelerators Kolkata
TiE Kolkata,Incubators & Hubs / Other,Other,N/A,Other,(TiE chapter),Entrepreneurship network/chapter with programs.,Ecosystem overviews
"Webel / related incubators (e.g., Ekta)",Incubators & Hubs,Other,N/A,Salt Lake (Sector V),webel-india.com related,State-linked tech incubation/support.,Older lists + STPI/Webel presence
Bengal Angel Network,VCs & Investors,Other,N/A,Other,(news),Angel group (notable members); active in local deals.,"Funding news (e.g., Yes Sir)"
