Name,Type,Sector,Stage,Area,Website,Description,Source/Verification Note
Wow! Momo Foods,Startup,Other,Series C+,Other,https://www.wowmomo.com/,India's largest homegrown momo-focused QSR chain with 650+ outlets across 30+ cities; also owns Wow! China and Wow! Chicken.,eChai Ventures Kolkata directory (echai.ventures/kolkata); StartupBlink Kolkata rankings; Tiger Global led ~$23M growth round per public reporting
Nestasia,Startup,D2C Brands,Unconfirmed,Other,https://nestasia.in/,"D2C and omnichannel home-decor, tableware and lifestyle brand expanding into physical retail.","eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page (funding $12.3M, exact round unconfirmed)"
StockEdge,Startup,FinTech,Unconfirmed,Salt Lake (Sector V),https://stockedge.com/,"Stock-market analytics and research app for individual retail investors, part of the Kredent group.",eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page; Fincubation address confirms Kredent Towers Sector V HQ
Arohan Financial Services,Startup,FinTech,Unconfirmed,Other,https://arohan.in/,NBFC-microfinance institution offering small-ticket loans to underserved low-income borrowers in eastern India.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
WishCare,Startup,D2C Brands,Unconfirmed,Other,https://www.mywishcare.com/,D2C beauty and personal-care brand focused on hair-care and skincare essentials.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
Motovolt Mobility,Startup,DeepTech / HardTech,Unconfirmed,Other,https://www.motovolt.co/,Designer and manufacturer of electric bikes and smart e-cycles/e-scooters for last-mile mobility.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
What's Up Wellness,Startup,D2C Brands,Unconfirmed,Other,https://whatsupwellness.in/,"D2C wellness brand selling nutraceutical gummies for hair, skin and nails.","eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page [VERIFY: born in Kolkata, current HQ location unclear per eChai note]"
TalkEsport,Startup,Gaming,Unconfirmed,Other,https://www.talkesport.com/,Esports and gaming media portal covering news and events with global readership.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
SuperProcure,Startup,SaaS,Unconfirmed,Other,https://superprocure.com/,End-to-end transport-management SaaS platform for enterprise freight sourcing and logistics automation.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
Snap-E Cabs,Startup,Logistics,Unconfirmed,Other,https://snapecabs.com/,"All-electric ride-hailing platform in Kolkata offering city rides, rentals and outstation trips on a 100% EV fleet.",eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
NowPurchase,Startup,SaaS,Unconfirmed,Other,https://nowpurchase.com/,B2B procurement and manufacturing-intelligence platform for metal foundries; backed by Orios Venture Partners and InfoEdge Ventures.,eChai Ventures Kolkata directory; StartupBlink Kolkata top-startups page
mPokket,Startup,FinTech,Unconfirmed,Other,https://www.mpokket.com/,"Digital app providing small-ticket instant personal loans to college students, gig workers and salaried professionals.",eChai Ventures Kolkata directory (echai.ventures/kolkata/startups)
Sreeleathers,Startup,D2C Brands,Bootstrapped,Other,https://www.sreeleathers.com/,Footwear and leather-goods retail chain with 42+ stores across 10 states plus online.,eChai Ventures Kolkata directory
Aashiyaan Housing and Development Finance,Startup,FinTech,Unconfirmed,Other,[VERIFY: no confirmed live website found],Housing finance company serving borrowers in the informal sector.,eChai Ventures Kolkata directory [VERIFY: could not independently confirm a live company website in this session]
Amwoodo Eco Products,Startup,D2C Brands,Unconfirmed,Other,https://amwoodo.com/,"Sustainable bamboo-based alternatives to plastic, personal care, hospitality and construction materials; exports to Europe.",eChai Ventures Kolkata directory
Assessli,Startup,EdTech,Unconfirmed,Other,https://assessli.com/,AI-driven assessment platform tailoring learning content and development plans to individual students.,eChai Ventures Kolkata directory
Data Sutram,Startup,AI & ML,Unconfirmed,Other,https://datasutram.com/,"AI location-intelligence and alternative-data platform for fintech risk, site-selection and asset analytics.",eChai Ventures Kolkata directory [VERIFY: founded in Kolkata 2018; several sources now list primary HQ in Mumbai]
DSMenu,Startup,SaaS,Unconfirmed,Other,https://www.dsmenu.com/,Digital menu-board and signage SaaS product for quick-service restaurants.,eChai Ventures Kolkata directory
Elearnmarkets,Startup,EdTech,Unconfirmed,Salt Lake (Sector V),https://www.elearnmarkets.com/,Online financial-markets education and learning platform for investors and traders under the Kredent group.,eChai Ventures Kolkata directory
Hoichoi,Startup,Other,Unconfirmed,Other,https://www.hoichoi.tv/,"Leading Bengali-language OTT streaming platform from SVF with originals, films and music.",eChai Ventures Kolkata directory
iManageMyHotel,Startup,SaaS,Unconfirmed,Other,https://www.imanagemyhotel.com/,"Cloud hotel-management SaaS with channel manager, POS/restaurant and booking-engine modules.",eChai Ventures Kolkata directory
Indo Wagen,Startup,DeepTech / HardTech,Unconfirmed,Other,https://indowagen.com/,"Manufacturer of battery-operated passenger e-rickshaws, cargo tricycles and personal e-scooters.",eChai Ventures Kolkata directory
Jagaran Microfin,Startup,FinTech,Unconfirmed,Other,https://www.jagaranmf.com/,Microfinance provider offering micro-loans to women from low-income groups.,eChai Ventures Kolkata directory
Jewelbox,Startup,D2C Brands,Unconfirmed,Other,https://jewelbox.co.in/,Lab-grown diamond jewelry D2C brand blending sustainable diamonds with omnichannel retail.,eChai Ventures Kolkata directory
Karma Kettle,Startup,D2C Brands,Bootstrapped,Other,https://karmakettle.com/,Artisanal and gourmet tea brand with 100+ tea variants and blends.,eChai Ventures Kolkata directory
Kredent InfoEdge,Startup,FinTech,Unconfirmed,Salt Lake (Sector V),https://www.kredentinfoedge.com/,Financial-markets education and technology group; parent company of StockEdge and Elearnmarkets.,eChai Ventures Kolkata directory
Mihup,Startup,AI & ML,Unconfirmed,Other,https://mihup.ai/,Conversational-intelligence and voice-AI platform for contact centers and in-vehicle voice assistants.,eChai Ventures Kolkata directory
Mio Amore,Startup,Other,Bootstrapped,Other,https://www.mioamore.in/,"Bakery, cakes and confectionery QSR chain widespread across Eastern India, part of Magus Estates & Hotels.",eChai Ventures Kolkata directory
Miss Chase,Startup,D2C Brands,Unconfirmed,Other,https://www.misschase.com/,Women's fast-fashion D2C brand sold via marketplaces and its own site.,eChai Ventures Kolkata directory
Mobel Furniture,Startup,D2C Brands,Bootstrapped,Other,https://www.mobelindia.com/,Furniture retail brand with 31 stores across Eastern India plus an online store.,eChai Ventures Kolkata directory
Rare Planet,Startup,D2C Brands,Unconfirmed,Other,https://rareplanet.com/,"D2C retail brand selling indigenous handmade Indian handicrafts, supporting local artisans, with airport and online retail.",eChai Ventures Kolkata directory
Relaso,Startup,SaaS,Unconfirmed,Other,https://www.relaso.com/,Social CRM and customer-service SaaS platform.,eChai Ventures Kolkata directory
RupeeVest,Startup,FinTech,Unconfirmed,Other,https://www.rupeevest.com/,Online investment and research platform for direct mutual funds and corporate fixed deposits.,eChai Ventures Kolkata directory
SastaSundar,Startup,Healthtech,Unconfirmed,Other,https://www.sastasundar.com/,Online pharmacy and digital-healthcare marketplace with Healthbuddy franchise stores across West Bengal.,eChai Ventures Kolkata directory; also referenced in Inc42 Kolkata startup list
Simaaya,Startup,D2C Brands,Bootstrapped,Other,https://www.simaaya.com/,"Ethnic apparel and saree D2C brand, winner of Star Retailer Award 2014.",eChai Ventures Kolkata directory
Sisir Radar,Startup,DeepTech / HardTech,Unconfirmed,Other,https://www.sisirradar.com/,Synthetic-aperture radar (SAR) satellite and earth-observation hardware startup with climate and agri monitoring applications.,eChai Ventures Kolkata directory
Taxmantra,Startup,FinTech,Unconfirmed,Other,https://taxmantra.com/,"Cross-border tax, legal, compliance and fundraising advisory platform for startups and businesses.",eChai Ventures Kolkata directory; also referenced in Startups Union Kolkata IT-startup list
Textify Analytics,Startup,AI & ML,Unconfirmed,Other,https://textify.ai/,Multimodal AI platform extracting insights from documents and datasets via natural-language queries.,eChai Ventures Kolkata directory
The House of Ganges,Startup,D2C Brands,Unconfirmed,Other,https://thehouseofganges.com/,Vegan and sustainable leather handbags and accessories D2C brand.,eChai Ventures Kolkata directory
The Tea Shelf,Startup,D2C Brands,Bootstrapped,Other,https://theteashelf.com/,"Direct-from-garden premium loose-leaf tea D2C brand (Darjeeling, Assam, Nilgiri).",eChai Ventures Kolkata directory
Uptownie,Startup,D2C Brands,Unconfirmed,Other,https://uptownie.in/,Women's fashion D2C brand serving 10+ lakh customers online.,eChai Ventures Kolkata directory
Videonetics,Startup,AI & ML,Unconfirmed,Other,https://www.videonetics.com/,"AI-powered video-management and video-analytics platform for facial recognition, traffic and crowd analysis.",eChai Ventures Kolkata directory
Village Financial Services,Startup,FinTech,Unconfirmed,Other,https://village.net.in/,Microfinance company providing small-ticket credit to underserved communities.,eChai Ventures Kolkata directory
Aglo,Startup,D2C Brands,Bootstrapped,Other,https://aglofoods.com/,FMCG food brand offering kitchen staples and premium dry fruits via D2C.,eChai Ventures Kolkata directory
Altius Investech,Startup,FinTech,Unconfirmed,Other,https://altiusinvestech.com/,"Marketplace and data platform for buying and selling unlisted, pre-IPO and private-equity shares.",eChai Ventures Kolkata directory
