Name,Type,Sector,Stage,Area,Website
ITC Limited,Startup,D2C Brands,Public,Other,https://itcportal.com/
Coal India Limited,Startup,DeepTech / HardTech,Public,New Town / Rajarhat,https://www.coalindia.in/
UCO Bank,Startup,FinTech,Public,Other,https://www.uco.bank.in/
Bandhan Bank,Startup,FinTech,Public,Salt Lake (Sector V),https://www.bandhanbank.com/
CESC Limited,Startup,Other,Public,Other,https://www.cesc.co.in/
Emami Limited,Startup,D2C Brands,Public,EM Bypass,https://www.emamiltd.in/
Exide Industries,Startup,DeepTech / HardTech,Public,Other,https://www.exideindustries.com/
Berger Paints India,Startup,Other,Public,Other,https://www.bergerpaints.com/
Lux Industries,Startup,D2C Brands,Public,Salt Lake (Sector V),https://luxindustries.com/
Rupa & Company,Startup,D2C Brands,Public,Other,https://rupa.co.in/
Senco Gold & Diamonds,Startup,D2C Brands,Public,Other,https://sencogoldanddiamonds.com/
Vedant Fashions,Startup,D2C Brands,Public,Other,https://www.vedantfashions.com/
Titagarh Rail Systems,Startup,DeepTech / HardTech,Public,Park Street & Camac Street,https://www.titagarh.in/
Texmaco Rail & Engineering,Startup,DeepTech / HardTech,Public,Other,https://www.texmaco.in/
Garden Reach Shipbuilders & Engineers,Startup,DeepTech / HardTech,Public,Other,https://grse.in/
MSTC Limited,Startup,SaaS,Public,New Town / Rajarhat,https://www.mstcindia.co.in/
Keventer Agro,Startup,D2C Brands,Unconfirmed,Other,https://www.keventer.com/
Patton International,Startup,DeepTech / HardTech,Unconfirmed,Park Street & Camac Street,https://www.pattonindia.com/
IFB Industries,Startup,DeepTech / HardTech,Public,Other,https://ifbindustries.com/
Balmer Lawrie & Company,Startup,Logistics,Public,Other,https://balmerlawrie.com/
Albert David,Startup,Healthtech,Public,Other,https://albertdavidindia.com/
Anmol Industries,Startup,D2C Brands,Unconfirmed,Other,https://www.anmolindustries.com/
Graphite India,Startup,DeepTech / HardTech,Public,Other,https://graphiteindia.com/
PCBL Limited,Startup,DeepTech / HardTech,Public,Other,https://www.pcblltd.com/
Tega Industries,Startup,DeepTech / HardTech,Public,Other,https://tegaindustries.com/
Shyam Steel Industries,Startup,DeepTech / HardTech,Unconfirmed,Other,https://www.shyamsteel.com/
Electrosteel Castings,Startup,DeepTech / HardTech,Public,Park Street & Camac Street,https://www.electrosteel.com/
India Power Corporation,Startup,Other,Public,Other,https://www.indiapower.com/
Haldia Petrochemicals,Startup,DeepTech / HardTech,Unconfirmed,Salt Lake (Sector V),https://www.haldiapetrochemicals.com/
Eveready Industries India,Startup,D2C Brands,Public,Other,https://www.eveready.in/
Birla Corporation,Startup,DeepTech / HardTech,Public,Other,https://www.birlacorporation.com/
Jay Shree Tea & Industries,Startup,D2C Brands,Public,Other,https://jayshreetea.in/
Dhunseri Investments,Startup,Other,Public,Other,https://dhunseriinvestments.com/
Dhunseri Ventures,Startup,Other,Public,Other,https://dhunseriventures.com/
Jai Balaji Industries,Startup,DeepTech / HardTech,Public,Other,https://www.jaibalajigroup.com/
Techno Electric & Engineering,Startup,DeepTech / HardTech,Public,Other,https://www.techno.co.in/
Linc Limited,Startup,D2C Brands,Public,Other,https://www.lincpen.com/
GKW Limited,Startup,DeepTech / HardTech,Public,Other,https://gkwlimited.com/
Himadri Speciality Chemical,Startup,DeepTech / HardTech,Public,Other,https://himadri.com/
Petro Carbon and Chemicals,Startup,DeepTech / HardTech,Public,Park Street & Camac Street,https://pccl.in/
Vikram Solar,Startup,DeepTech / HardTech,Unconfirmed,EM Bypass,https://www.vikramsolar.com/
Websol Energy System,Startup,DeepTech / HardTech,Public,Other,https://www.webelsolar.com/
Sova Solar,Startup,DeepTech / HardTech,Unconfirmed,Other,https://sovasolar.com/
Flurys,Startup,D2C Brands,Unconfirmed,Park Street & Camac Street,https://flurys.com/
K.C. Das,Startup,D2C Brands,Unconfirmed,Other,https://kcdas.com/
SAJ Food Products / Bisk Farm,Startup,D2C Brands,Unconfirmed,Other,https://www.biskfarm.com/
Khadim India,Startup,D2C Brands,Public,Other,https://khadims.com/
Apeejay Surrendra Park Hotels,Startup,Other,Public,Other,https://www.parkhotelgroup.com/
Peerless General Finance,Startup,FinTech,Unconfirmed,Other,https://peerlessgeneral.com/
iMerit Technology,Startup,AI & ML,Unconfirmed,Other,https://imerit.net/
SentientGeeks,Startup,SaaS,Bootstrapped,Other,https://sentientgeeks.com/
Glocal Healthcare,Startup,Healthtech,Unconfirmed,Other,https://ghspl.com/
Medikabazaar,Startup,Healthtech,Unconfirmed,Other,https://www.medikabazaar.com/
CLIRnet,Startup,Healthtech,Unconfirmed,Other,https://clirnet.com/
SleepyCat,Startup,D2C Brands,Unconfirmed,Other,https://sleepycat.in/
Veritas Finance,Startup,FinTech,Series C+,Other,https://www.veritasfin.in/
