Name,Type,Sector,Stage,Area,Website,Description
SelfUp,Startup,EdTech,Bootstrapped,Siliguri,https://selfupcommunity.com,Skills and career-focused e-learning and community platform based in Siliguri.
Udyan Tea,Startup,D2C Brands,Bootstrapped,Siliguri,https://www.udyantea.com,Tea brand selling Darjeeling and specialty teas gifts and tea products.
MDS Food House,Startup,D2C Brands,Bootstrapped,Siliguri,https://mdsfoodhouse.com,Consumer snack and food brand built around traditional homemade recipes.
Codly India,Startup,SaaS,Bootstrapped,Siliguri,https://codly.in,Software company building SaaS AI mobile and business-automation products.
Technogleam Digital Solutions,Startup,SaaS,Bootstrapped,Siliguri,https://www.technogleam.com,Digital and AI-driven technology and marketing solutions company serving businesses across India and abroad.
Ecoodia Technology,Startup,Other,Bootstrapped,Siliguri,https://ecoodia.com,Digital transformation website/app development SEO marketing and automation company.
Marina Infotech,Startup,SaaS,Bootstrapped,Siliguri,http://www.marinainfotech.com,Web development software development hosting and digital services.
Blueweb Surfer,Startup,SaaS,Bootstrapped,Siliguri,https://www.bluewebsurfer.com,Web/app development hosting SEO digital marketing and online business solutions.
SR Creatives Siliguri,Startup,Other,Bootstrapped,Siliguri,http://srcreatives.in,Website e-commerce Android app and digital-marketing solutions for businesses.
Webrasta Technologies,Startup,SaaS,Bootstrapped,Howrah,https://www.webrasta.com,Web/app development hosting SEO and digital solutions based in Howrah.
Graphicode India,Startup,SaaS,Bootstrapped,Howrah,,Custom website Android app and graphic/design solutions.
Gowebs,Startup,SaaS,Bootstrapped,Howrah,https://gowebs.in,App development web development and digital marketing platform.
SCRIPTEVOLVE PRIVATE LIMITED,Startup,SaaS,Bootstrapped,Howrah,https://www.scriptevolve.com,Web/app development APIs cloud hosting and software services.
THATWARE LLP,Startup,AI & ML,Bootstrapped,Howrah,https://thatware.co,AI-first search SEO NLP machine learning and SaaS automation solutions.
Maity Innovations Pvt. Ltd.,Startup,SaaS,Bootstrapped,Durgapur,https://maityinnovations.com,Digital marketing website development UI/UX and mobile-app development in Durgapur.
Nth Dimensions,Startup,SaaS,Bootstrapped,Durgapur,https://www.nthdimensions.in,Website software app development and digital transformation services.
ArcSys Geospatial Private Limited,Startup,Other,Bootstrapped,Durgapur,https://arcsysgeospatial.com,Geospatial mapping urban planning environmental and IT services.
Geekyogi Technologies Pvt. Ltd.,Startup,SaaS,Bootstrapped,Durgapur,,Software web-development and hosting business providing web applications.
Essential Aquatech Private Limited,Startup,Other,Seed,Jalpaiguri,https://essentialaquatech.com,Aquaculture and fisheries technology combining climate intelligence farmer services and data-driven advisory.
Syang's Living Food and Beverage,Startup,D2C Brands,Seed,Darjeeling,https://www.syangs.in,Fermented kombucha and sparkling-tea beverage brand using Darjeeling tea.
KRP IT Solutions Pvt. Ltd.,Startup,EdTech,Bootstrapped,Hooghly,https://krpsolutions.co.in,Education ERP platform covering administration attendance and school management.
STPI Durgapur,Incubators & Hubs,SaaS,Bootstrapped,Durgapur,https://kolkata.stpi.in/en/durgapur,Government technology park supporting IT/ITeS incubation and entrepreneurial activity in Durgapur.
STEP IIT Kharagpur,Incubators & Hubs,DeepTech / HardTech,Bootstrapped,Kharagpur,https://www.stepiitkgp.org,IIT Kharagpur's Science & Technology Entrepreneurs' Park supporting technology startups.
Agri Business Incubation Foundation (ABIF) IIT Kharagpur,Incubators & Hubs,DeepTech / HardTech,Bootstrapped,Kharagpur,https://abif.iitkgp.ac.in,Agriculture-focused startup incubator providing funding mentoring and institutional support.
AFBIC IIT Kharagpur,Incubators & Hubs,Other,Bootstrapped,Kharagpur,https://afbic.iitkgp.ac.in,Agrifood business incubation programme supporting seed-stage ventures.
